Model Family,Pruning %,Original Expansion %,Pruned Expansion %,Expansion Reduction %,Original Params (M),Pruned Params (M),Param Reduction %,Params Saved (M)
1B,10,400.0,360.0,10.0,1235.81,1155.3,6.51,80.51
1B,20,400.0,320.0,20.0,1235.81,1074.79,13.03,161.02
1B,30,400.0,280.0,30.0,1235.81,994.28,19.54,241.53
1B,40,400.0,240.0,40.0,1235.81,913.77,26.06,322.04
1B,50,400.0,200.0,50.0,1235.81,833.16,32.58,402.65
1B,60,400.0,160.0,60.0,1235.81,752.65,39.1,483.16
1B-Instruct,10,400.0,360.0,10.0,1235.81,1155.3,6.51,80.51
1B-Instruct,40,400.0,240.0,40.0,1235.81,913.77,26.06,322.04
1B-Instruct,60,400.0,160.0,60.0,1235.81,752.65,39.1,483.16
3B,10,266.7,240.0,10.11,3212.75,3001.41,6.58,211.34
3B,20,266.7,213.3,20.22,3212.75,2790.07,13.16,422.68
3B,30,266.7,186.7,29.96,3212.75,2578.73,19.73,634.02
3B,40,266.7,160.0,40.07,3212.75,2367.38,26.31,845.37
3B,50,266.7,133.3,50.19,3212.75,2155.79,32.9,1056.96
3B,60,266.7,106.7,59.93,3212.75,1944.44,39.48,1268.31
